課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,V,,4622406,EL224F,EL219,電子實驗,Electronics Laboratory,一般,電子二丙,必修,半,1,吳章銘,3-78C.,電學B06,,,,,,電子系,60,44,1.5,1.5,3,國語,4600B,0
◎,,,,,4627207,EL272G,EL272,C 語言程式設計,C Programming,一般,電子三甲,選修,半,3,鄭立德,4-234.,電學410,,,,,,電子系,30,22,3,3,119,國語,4600B,0
◎,,,,,4630607,EL306G,CS306,網路安全概論與實務,Network Security Fundamentals and Practices,一般,電子三甲,選修,半,3,葉平,5-567.,管理102,,,,,,電子系,30,30,3,3,155,國語,4600B,0
◎,,,,,4630707,EL307G,CS307,Matlab程式設計,Matlab Programming,一般,電子三甲,選修,半,3,陳瑞奇,1-EFG.,教學705,,,,,全英語授課,電子系,35,30,3,3,80,英語,4600B,0
◎,,,,,4632107,EL321G,EE388,電磁學(二),Electromagnetism (II),一般,電子三甲,選修,半,3,鄭慧愷,1-678.,教學605,,,,,106起入學學生核心選修3選2,電子系,70,37,3,3,43,國語,4600B,23
◎,,,V,,4632207,EL322G,BE401,專題實作(一),Engineering Design Practicum(I),一般,電子三甲,必修,半,1,鄭慧愷,,,,,,,,電子系,80,47,1,1,2,國語,4600B,0
◎,,V,,,4632307,EL323G,ZA321,工程數學(三),Engineering Mathematics(3),一般,電子三甲,選修,半,3,陳至信,3-78C.,教學608,,,,,,電子系,70,16,3,3,22,國語,4600B,34
◎,,,,,4639907,EL399G,EL399,半導體物理,Semiconductor Physics,一般,電子三甲,選修,半,3,温武義,4-234.,教學309,,,,,,電子系,70,45,3,3,65,國語,4600B,0
◎,,,,,4640207,EL402G,ZA401,VLSI設計導論,Fundamentals of VLSI Design,一般,電子三甲,選修,半,3,鍾文耀,5-234.,電學416,,,,,基礎核心選修，先修CMOS電路模擬設計,電子系,30,20,3,3,60,國語,4600B,0
◎,,,,,4642307,EL423G,EL423,嵌入式微處理器系統,Embedded Micro-Processor System,一般,電子三甲,選修,半,3,盧思博,5-567.,電學410,,,,,全英語授課,電子系,40,17,3,3,31,英語,4600B,13
◎,,,,,4644307,EL443G,EL443,電腦輔助類比電路設計與分析模擬,"Computer-Aided Analog Circuit Design,Analysis and Simulation",一般,電子三甲,選修,半,3,陳淳杰,3-78C.,電學416,,,,,限大三生選修，修過電子學二、三且及格者尤佳,電子系,35,27,3,3,48,國語,4600B,0
